,date,username,geo,text,likes,retweets,hashtags
0,2019-09-03 16:00:54+00:00,gmanews_sports,,"Turkey failed to extend a 92-91 lead by missing four consecutive free throws prior to the clutch shots by Middleton, who led Team USA with 15 points. #FIBAWChttp://bit.ly/2kpDZ1K",15,5,#FIBAWChttp
0,2019-09-03 15:53:30+00:00,gmanews_sports,,"“Nakakatuwa. Dati napapanood mo lang TV tapos ngayon nakalaro mo na di ba,” Fajardo said. “Sobrang liit lang pala ng mundo.” #FIBAWC #LabanPilipinashttp://bit.ly/2k0kQDB",55,5,#FIBAWC #LabanPilipinashttp
0,2019-09-03 14:52:35+00:00,gmanews_sports,,"Team USA wins over Turkey in overtime, 93-92. (Photo: FIBA website) #FIBAWCpic.twitter.com/flapqL8UVr",39,4,#FIBAWCpic
0,2019-09-03 14:33:32+00:00,gmanews_sports,,Overtime! USA and Turkey tied at 81 at end of regulation in #FIBAWC.pic.twitter.com/S6vdIBgku2,65,8,#FIBAWC
0,2019-09-03 11:38:39+00:00,gmanews_sports,,FIBA WORLD CUP: Serbia coach believes Gilas Pilipinas ‘missing some quality’http://bit.ly/2jZPcGj,26,3,
0,2019-09-03 09:05:00+00:00,gmanews_sports,,FIBA WORLD CUP: Gilas needs to ‘lift up spirits’ ahead of game vs. Angola — Guiaohttp://bit.ly/2jU7wjW,9,1,
0,2019-09-03 06:51:55+00:00,gmanews_sports,,FIBA WORLD CUP Yeng Guiao predicts toss-up fight between Serbia and Italyhttp://bit.ly/2lAUY1h,3,0,
0,2019-09-03 06:20:00+00:00,gmanews_sports,,FIBA WORLD CUP Angola coach expects close game vs Gilas Pilipinashttp://bit.ly/2lvdjNv,6,0,
0,2019-09-03 06:00:00+00:00,gmanews_sports,,Relentless Rafa knocks Cilic out of US Openhttp://bit.ly/2lz8Jxs,4,0,
0,2019-09-03 05:52:04+00:00,gmanews_sports,,FIBA WORLD CUP Yeng Guiao not surprised with CJ Perez’s brilliant performancehttp://bit.ly/2lyw5Ug,7,0,
0,2019-09-03 00:12:45+00:00,gmanews_sports,,"A record 54 players from the National Basketball Association are on the squads of national teams at this month's FIBA Basketball World Cup in China, up from 45 in the 2014 edition.http://bit.ly/2ls8415",6,0,
0,2019-09-02 13:38:35+00:00,gmanews_sports,,"JUST IN: Gilas falls to Serbia, 126-67, bows out of #FIBAWC contention. #FIBAWC #LabanPilipinas Read for details: http://bit.ly/2ltegWs pic.twitter.com/tUXfMi8wDW",4,0,#FIBAWC #FIBAWC #LabanPilipinas
0,2019-09-02 13:34:09+00:00,gmanews_sports,,Top performers Gilas: CJ Perez Serbia: Bogdan Bogdanovic #FIBAWC #LabanPilipinas (From FIBA site)pic.twitter.com/qm5EMxaNVC,154,21,#FIBAWC #LabanPilipinas
0,2019-09-02 13:31:41+00:00,gmanews_sports,,"Full time stats for PHI vs SRB: Gilas: 25/67 FGs, 3/24 3-pts made, 23 rebs Serbia: 48/64 FGs, 12/22 3-pts made, 37 rebs #FIBAWC #LabanPilipinaspic.twitter.com/C3SM3smfJh",12,3,#FIBAWC #LabanPilipinaspic
0,2019-09-02 13:22:44+00:00,gmanews_sports,,"JUST IN: Gilas Pilipinas bows out of contention in the #FIBAWC after falling against Serbia, 126-67.http://bit.ly/2ltegWs",42,2,#FIBAWC
0,2019-09-02 13:18:34+00:00,gmanews_sports,,"JUST IN: Gilas falls to Serbia, 126-67. #FIBAWC #LabanPilipinaspic.twitter.com/njbRCGNXoX",92,20,#FIBAWC #LabanPilipinaspic
0,2019-09-02 13:15:07+00:00,gmanews_sports,,"Lee sinks 2/2 from the stripe. SRB 121-67 PHI, 1:06 #FIBAWC #LabanPilipinas",6,1,#FIBAWC #LabanPilipinas
0,2019-09-02 12:19:18+00:00,gmanews_sports,,"At the half, Serbia with the lead against Gilas, 62-35. #FIBAWC #LabanPilipinas (From FIBA website)pic.twitter.com/lcgOzcgGd7",18,8,#FIBAWC #LabanPilipinas
0,2019-09-02 11:55:23+00:00,gmanews_sports,,"End of Q1: Serbia up against Gilas, 28-13. #FIBAWC #LabanPilipinaspic.twitter.com/OJz1xqsX2n",11,4,#FIBAWC #LabanPilipinaspic
0,2019-09-02 11:46:51+00:00,gmanews_sports,,"Timeout, Gilas. Serbia with the lead, 21-11, 2:24 in Q1. #LabanPilipinas #FIBAWC",2,1,#LabanPilipinas #FIBAWC
0,2019-09-02 11:43:40+00:00,gmanews_sports,,"Kiefer sinks 2/2 from the stripe,. 16-11, Serbia, 3:38. #LabanPilipinas #FIBAWC",9,1,#LabanPilipinas #FIBAWC
0,2019-09-02 11:37:09+00:00,gmanews_sports,,"Paul Lee gives the lead to Gilas. PHI up, 9-7, 6:02. #LabanPilipinas #FIBAWC",15,1,#LabanPilipinas #FIBAWC
0,2019-09-02 11:29:15+00:00,gmanews_sports,,Starters for Gilas vs Serbia: Andray Blatche Paul Lee Gabe Norwood Troy Rosario Japeth Aguilar #LabanPilipinas #PilipinasGotGame,35,6,#LabanPilipinas #PilipinasGotGame
